Link Text,URL,Type,Source Page(s),HTTP status,Active,Final URL,Notes
Image 3: RevenueWell Systems,https://www.jeffreyburns.com/wp-content/plugins/pbhs-common-plugin/_css/images/rw-logo.png,file,http://www.jeffreyburns.com/patient-information/patient-education/ ; https://www.jeffreyburns.com/patient-information/patient-education/,403,no/check,https://www.jeffreyburns.com/wp-content/plugins/pbhs-common-plugin/_css/images/rw-logo.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 18: next arrow,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/arrow-next.png,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/arrow-next.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 17: previous arrow,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/arrow-prev.png,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/arrow-prev.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 28: next arrow,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/button-next.png,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/button-next.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 27: previous arrow,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/button-previous.png,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/button-previous.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 16: Play Meet Dr. Burns Video,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/play-icon.png,file,https://www.jeffreyburns.com/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/assets/play-icon.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Watch Video,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Burns_DDS_-_About_Dr_Burns_V2-amsidehh0q.mp4,file,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +20 more,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Burns_DDS_-_About_Dr_Burns_V2-amsidehh0q.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 4,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Burns_DDS_-_Crowns_and_Bridges_V5-ctr0cg44xc.mp4,file,https://www.jeffreyburns.com/restorative-dentistry/dental-bridges/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Burns_DDS_-_Crowns_and_Bridges_V5-ctr0cg44xc.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 17,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_1_V5-ecmativvs7.mp4,file,https://www.jeffreyburns.com/patient-information/dental-testimonials/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_1_V5-ecmativvs7.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 14,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_2_V5-5jh4it424o.mp4,file,https://www.jeffreyburns.com/patient-information/dental-testimonials/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_2_V5-5jh4it424o.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 13,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_3_V5-n0x734x7k4.mp4,file,https://www.jeffreyburns.com/patient-information/dental-testimonials/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_3_V5-n0x734x7k4.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 16,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_4_V5-9vr2q86wws.mp4,file,https://www.jeffreyburns.com/patient-information/dental-testimonials/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_4_V5-9vr2q86wws.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 15,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_6_V5-6dchbjy0bl.mp4,file,https://www.jeffreyburns.com/patient-information/dental-testimonials/,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Testimonial_6_V5-6dchbjy0bl.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Video 12 | Video 2 | Video 4,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Web%20Banner%20V6-cvyesk4svu.mp4,file,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +20 more,403,no/check,https://www.jeffreyburns.com/wp-content/themes/JeffreyBurns/_media/exported-videos/Web%20Banner%20V6-cvyesk4svu.mp4,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 3: Dr. Burns and the staff posing Jeffrey S. Burns DDS,https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC01658-e1582043310592.jpg,file,http://www.jeffreyburns.com/about-us/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC01658-e1582043310592.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
"Image 5: Teri - Financial, Insurance & Treatment Coordinator at Jeffrey S. Burns DDS",https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC06003-e1621369347860.jpg,file,https://www.jeffreyburns.com/about-us/meet-the-staff/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC06003-e1621369347860.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
"Image 4: Sara - CDA, DA II, and Lab Coordinator at Jeffrey S. Burns DDS",https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC06026.jpg,file,https://www.jeffreyburns.com/about-us/meet-the-staff/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC06026.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 2: Megan - RDH at Jeffrey S. Burns DDS,https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC06046.jpg,file,https://www.jeffreyburns.com/about-us/meet-the-staff/,403,no/check,https://www.jeffreyburns.com/wp-content/uploads/2019/05/DSC06046.jpg,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
